user_id,username,reminder_id,reminder_name,description,address,latitude,longitude,date_for_reminder,reminder_day,setup_date,setup_day,setup_time,reminder_status,tag,weather_condition
1,user1@example.com,3000,Library books return,"Return the crime novels to the library, and maybe find more like them.","78 West Avenue, Manchester, M1 1AA",53.478302,-2.241796,21/03/2023,TUE,01/03/2023,FRI,20:06,FALSE, Library books return,Cloudy
1,user1@example.com,3001,Buy milk,We're out of milk again I'm need it for the kids' breakfast!,"456 King Road, Birmingham, B1 2JR",52.480319,-1.908449,03/04/2023,THU,16/02/2023,SAT,01:53,TRUE,Buy Groceries,Partly Cloudy
1,user1@example.com,3002,Send letter,Mail the signed documents to the lawyer ASAP.,"123 Queen Street, London, W1T 1HQ",51.51832,-0.141099,17/03/2023,WED,16/02/2023,FRI,20:10,FALSE, Send letter,Cloudy
3,user3@example.com,3003,Pick up prescription,Pick up the new prescription from Green Pharmacy I'm doctor's orders!,"123 Queen Street, London, W1T 1HQ",51.51832,-0.141099,09/04/2023,SUN,05/03/2023,WED,21:33,TRUE, Pick up prescription,Partly Cloudy
3,user3@example.com,3004,Coffee with friends,Coffee catch-up with Sarah and Pete at Caffe Delight.,"456 King Road, Birmingham, B1 2JR",52.480319,-1.908449,04/04/2023,FRI,18/02/2023,MON,03:46,FALSE,Leisure,Sunny
3,user3@example.com,3005,Send letter,Mail the signed documents to the lawyer ASAP.,"910 Eastfield Lane, Bristol, BS5 0FD",51.466317,-2.550634,24/03/2023,MON,15/02/2023,FRI,10:33,TRUE, Send letter,Cloudy
2,user2@example.com,3006,Jogging,Morning jog at 6 AM I'm trying to beat my record this time!,"123 Queen Street, London, W1T 1HQ",51.51832,-0.141099,22/03/2023,MON,05/03/2023,MON,00:24,TRUE, Work out ,Sunny
3,user3@example.com,3007,Coffee with friends,Coffee catch-up with Sarah and Pete at Caffe Delight.,"456 King Road, Birmingham, B1 2JR",52.480319,-1.908449,07/04/2023,SUN,10/03/2023,WED,17:36,FALSE,Leisure,Sunny
4,user4@example.com,3008,Send letter,Mail the signed documents to the lawyer ASAP.,"456 King Road, Birmingham, B1 2JR",52.480319,-1.908449,19/03/2023,TUE,01/03/2023,WED,04:43,TRUE, Send letter,Cloudy
3,user3@example.com,3009,Buy milk,We're out of milk again I'm need it for the kids' breakfast!,"123 Queen Street, London, W1T 1HQ",51.51832,-0.141099,30/03/2023,TUE,17/02/2023,SUN,16:46,FALSE,Buy Groceries,Partly Cloudy
